feature,logistic_coef_llm,abs_coef
first_person_per_1000,1.4626612715164424,1.4626612715164424
word_count,1.434041385932733,1.434041385932733
hapax_ratio,1.2174705086014708,1.2174705086014708
formulaic_phrase_per_1000,1.089376720519992,1.089376720519992
sensory_per_1000,0.9905407504967144,0.9905407504967144
landmark_reuse_ratio,0.9715906377017569,0.9715906377017569
survey_route_ratio,-0.8958199192116066,0.8958199192116066
dialogue_mark_density,-0.8603421248609306,0.8603421248609306
sentence_count,-0.8450974943467148,0.8450974943467148
narrative_route_ratio,-0.8354566333440667,0.8354566333440667
mean_sentence_len,0.6241588478524192,0.6241588478524192
imperative_sentence_share,-0.6236864965483013,0.6236864965483013
that_per_1000,-0.5784604788252589,0.5784604788252589
second_person_per_1000,-0.5179982756662626,0.5179982756662626
coordination_per_1000,-0.436504351506304,0.436504351506304
bigram_repetition,-0.43411121657516727,0.43411121657516727
sequence_per_1000,0.4072875243086775,0.4072875243086775
affect_per_1000,0.2429693567986796,0.2429693567986796
participial_ing_per_1000,0.1878696317232593,0.1878696317232593
direction_per_1000,-0.17590669958741925,0.17590669958741925
closure_per_1000,-0.15266266262802608,0.15266266262802608
landmark_per_1000,0.12751364895730752,0.12751364895730752
cardinal_per_1000,0.1172519305864236,0.1172519305864236
passive_like_per_1000,-0.09793195715462548,0.09793195715462548
nominalization_per_1000,0.09294557059537904,0.09294557059537904
left_right_imbalance,-0.07720262531324375,0.07720262531324375
motion_per_1000,-0.07579646720774466,0.07579646720774466
route_step_density,-0.06669795706962296,0.06669795706962296
egocentric_per_1000,0.05870697610560126,0.05870697610560126
deictic_per_1000,-0.05582996082121521,0.05582996082121521
type_token_ratio,0.04349359829083733,0.04349359829083733
